day,time,location,headline,subheadline,type,filename,
Freitag,14:15,Gesellschaftssaal,Figure Collecting,,workshop,Color_FigurCollection,
Freitag,14:15,Workshopraum 1,Facebook &_Instagram_für Cosplayer,,workshop,Color_Facebook,
Freitag,14:30,Signierraum 1,"Twin Cosplay,_Shiro &_Shunuske",Signierstunde,guest,Color_TWIN Shiro Shunuske new,
Freitag,15:00,Festsaal,Omoshiro!,,showact,Color_Omoshiro,
Freitag,15:30,Signierraum 2,Iso Mitsuo,Signierstunde,guest,Color_Mitsuo Iso,
Freitag,15:45,Workshopraum 1,Das_Cosplay-Perücken 1X1,,workshop,Color_Perueken,
Freitag,15:45,Gesellschaftssaal,25 Jahre_Sailor Moon,Vortrag,vortrag,Color_SailorMoon,
Freitag,16:00,Workshopraum 2,Synchron-Workshop,,workshop,Color_Syncro_Workshop,
Freitag,16:00,Signierraum 1,Hiroyuki Yamaga &_YasuHiro Takeda,Signierstunde,guest,Color_Gainax,
Freitag,16:15,Festsaal,Chii Sakurabi,Konzert,guest,Color_ChiiSakurabi,
Freitag,16:15,Blauer Saal,Shinji Schneider,,showact,Color_ShinjiSchneider,
Freitag,17:00,Gesellschaftssaal,AMV-Workshop,,workshop,OLD_AMV,
Freitag,17:00,Signierraum 2,"Max Felder,_René Dawn-Claude &_Christian Zeiger",Signierstunde,guest,Color_Syncronsprecher,
Freitag,17:00,Festsaal,Connichi-Cosplay,Wettbewerb,contest,Color_CosplayWettbewerb,
Freitag,17:30,Blauer Saal,One Piece Gold,Filmvorführung Kazé,default,Color_One Piece Gold,
Freitag,17:30,Signierraum 1,Ulla Wagener &_Patricia Strasburger,Signierstunde,guest,Color_Ulla_Wagner_Patricia,
Freitag,18:30,Signierraum 2,Mardelas,Signierstunde,guest,Color_Mardelas,
Freitag,19:00,Signierraum 1,Chii Sakurabi,Signierstunde,guest,Color_ChiiSakurabi,
Freitag,19:30,Festsaal,Karasu,Auftritt,guest,Color_Karasu,
Freitag,19:45,Blauer Saal,Ikimasho,,showact,Color_Ikimasho,
Freitag,20:00,Workshopraum 2,Digitale Animationen_mit 'Open Toonz',,workshop,Color_Workshop Open Toonz,
Freitag,20:00,Signierraum 2,Rooster Teeth_Miles Luna &_Patrick Rodriguez,Signierstunde,guest,Color_Rooster Teeth_1,
Freitag,20:30,Festsaal,Connichi-Cosplay,Siegerehrung,contest,Color_CosplayWettbewerb,
Freitag,20:45,Außenbereich,Matsuri Feuerwerk,,contest,RAHMENPROGRAMM_Feuerwerk_0,
Freitag,21:00,Festsaal,Cosplay Video_Contest,,contest,OLD_COSPLAY_VIDEO,
Freitag,21:15,Blauer Saal,Bushido Workshop,mit Karasu,guest,Color_Karasu,
Freitag,21:30,Festsaal,AMV-Nacht,,event,OLD_AMV_Nacht,
Fr.-So. ,Im,Innenhof,Connichi-Matsuri,"Spiel & Spaß",programm,RAHMENPROGRAMM_Matsuri,
Fr.-So. ,Hotel,Konferenzetage,Rollenspiele,Fr. ab 14:00_Sa. ab 10:00_So. ab 10:00,programm,BEREICH_RPG_0,
Fr.-So. ,Im,Innenhof,Bällebad,"Bälle, Bälle & mehr Bälle",programm,RAHMENPROGRAMM_Baellebad,
Fr.-So. ,Im,Außenbereich,Bring & Buy,Fr. & Sa. bis 20:00_So. bis 17:30,programm,BEREICH_BRINGBUY_0,
Fr.-So. ,Im,Rosensaal,Gamesroom,,programm,BEREICH_GAMESROOM_0,
Fr.-So. ,Im,Banketsaal,GO,Fr. 15:00 - 20:00_Sa. 11:00 - 21:00_So. 10:00-14:30,programm,BEREICH_GO_0,
Fr.-So. ,Im,Banketsaal,Brett & Kartenspiele,Fr. ab 14:00_Sa. ab 10:00_So. ab 10:00,programm,BEREICH_KARTENSPIEL_0,
Fr.&Sa. ,Hotel,Raum Beuys,Karaoke,Fr.& Sa. ab 17:00,programm,BEREICH_KARAOKE_0,
Fr.&Sa. ,In der,Weinkirche,Connichi Party,Fr.& Sa. ab 22:00,programm,RAHMENPROGRAMM_ConParty_0,